die_opening,distance,thickness,mean_springback
20,2.5,0.5,1.287
20,5.0,1.0,0.44133333333333336
20,10.0,1.0,0.674
20,15.0,3.0,0.8653333333333334
20,20.0,1.5,1.5523333333333333
20,10.0,1.0,0.674
20,5.0,1.0,0.44133333333333336
20,5.0,1.0,0.44133333333333336
20,2.5,0.5,1.287
20,17.5,1.0,1.454
20,2.5,3.0,0.38566666666666666
20,5.0,3.0,0.44799999999999995
20,15.0,2.0,0.9396666666666667
20,5.0,1.5,0.5725
20,2.5,1.0,0.7166666666666667
20,12.5,0.5,1.3373333333333335
20,5.0,1.0,0.44133333333333336
20,7.5,0.5,0.9526666666666667
20,20.0,1.0,1.9693333333333334
20,7.5,1.0,0.5486666666666667
20,15.0,0.5,1.8010000000000002
20,15.0,1.0,1.0803333333333334
20,5.0,2.0,0.634
20,15.0,1.0,1.0803333333333334
20,12.5,1.0,0.843
20,10.0,2.0,0.629
20,15.0,0.5,1.8010000000000002
20,10.0,0.5,1.1315
20,5.0,3.0,0.44799999999999995
20,17.5,0.5,2.4316666666666666
20,12.5,1.0,0.843
20,15.0,2.0,0.9396666666666667
20,10.0,3.0,0.5456666666666666
20,15.0,1.0,1.0803333333333334
20,17.5,1.0,1.454
20,2.5,0.5,1.287
20,7.5,3.0,0.519
20,7.5,1.0,0.5486666666666667
20,17.5,1.0,1.454
20,20.0,1.0,1.9693333333333334
20,15.0,1.0,1.0803333333333334
20,20.0,3.0,1.3630000000000002
20,10.0,1.0,0.674
20,7.5,1.0,0.5486666666666667
20,15.0,1.0,1.0803333333333334
20,10.0,2.0,0.629
20,12.5,1.0,0.843
20,20.0,2.0,1.6383333333333334
20,10.0,1.5,0.634
20,2.5,1.0,0.7166666666666667
20,7.5,3.0,0.519
20,2.5,0.5,1.287
20,20.0,2.0,1.6383333333333334
20,10.0,3.0,0.5456666666666666
20,5.0,3.0,0.44799999999999995
20,2.5,1.0,0.7166666666666667
20,5.0,1.0,0.44133333333333336
20,10.0,3.0,0.5456666666666666
20,12.5,0.5,1.3373333333333335
20,12.5,0.5,1.3373333333333335
20,17.5,0.5,2.4316666666666666
20,15.0,1.0,1.0803333333333334
20,17.5,0.5,2.4316666666666666
20,20.0,3.0,1.3630000000000002
20,7.5,3.0,0.519
20,10.0,1.5,0.634
20,7.5,3.0,0.519
20,20.0,1.5,1.5523333333333333
20,17.5,1.0,1.454
20,5.0,0.5,0.8226666666666667
20,2.5,1.0,0.7166666666666667
20,20.0,2.0,1.6383333333333334
20,2.5,3.0,0.38566666666666666
20,12.5,1.0,0.843
20,5.0,1.5,0.5725
20,5.0,1.0,0.44133333333333336
20,10.0,1.5,0.634
20,7.5,3.0,0.519
20,10.0,3.0,0.5456666666666666
20,2.5,1.0,0.7166666666666667
20,7.5,3.0,0.519
20,15.0,0.5,1.8010000000000002
20,12.5,0.5,1.3373333333333335
20,20.0,1.0,1.9693333333333334
20,20.0,1.5,1.5523333333333333
20,12.5,0.5,1.3373333333333335
20,5.0,0.5,0.8226666666666667
20,10.0,3.0,0.5456666666666666
20,20.0,1.0,1.9693333333333334
20,15.0,1.0,1.0803333333333334
20,7.5,0.5,0.9526666666666667
20,15.0,0.5,1.8010000000000002
20,5.0,3.0,0.44799999999999995
20,15.0,3.0,0.8653333333333334
20,5.0,1.5,0.5725
20,10.0,0.5,1.1315
20,20.0,1.0,1.9693333333333334
20,5.0,1.0,0.44133333333333336
20,7.5,0.5,0.9526666666666667
20,10.0,3.0,0.5456666666666666
20,2.5,3.0,0.38566666666666666
20,5.0,0.5,0.8226666666666667
20,7.5,1.0,0.5486666666666667
20,17.5,1.0,1.454
20,10.0,1.0,0.674
20,20.0,1.5,1.5523333333333333
20,10.0,0.5,1.1315
20,7.5,0.5,0.9526666666666667
20,15.0,1.0,1.0803333333333334
20,15.0,3.0,0.8653333333333334
20,7.5,1.0,0.5486666666666667
20,5.0,0.5,0.8226666666666667
20,5.0,3.0,0.44799999999999995
20,17.5,0.5,2.4316666666666666
20,10.0,0.5,1.1315
20,5.0,0.5,0.8226666666666667
20,20.0,1.0,1.9693333333333334
20,2.5,1.0,0.7166666666666667
20,15.0,2.0,0.9396666666666667
20,20.0,1.5,1.5523333333333333
20,10.0,0.5,1.1315
20,15.0,0.5,1.8010000000000002
20,5.0,1.0,0.44133333333333336
20,2.5,1.0,0.7166666666666667
20,5.0,1.5,0.5725
20,7.5,1.0,0.5486666666666667
20,20.0,1.0,1.9693333333333334
20,15.0,1.5,0.9576666666666668
20,20.0,3.0,1.3630000000000002
20,10.0,2.0,0.629
20,15.0,3.0,0.8653333333333334
20,15.0,0.5,1.8010000000000002
20,5.0,0.5,0.8226666666666667
20,10.0,0.5,1.1315
20,20.0,3.0,1.3630000000000002
20,5.0,1.5,0.5725
20,2.5,3.0,0.38566666666666666
20,7.5,1.0,0.5486666666666667
20,17.5,1.0,1.454
20,15.0,2.0,0.9396666666666667
20,10.0,0.5,1.1315
20,5.0,3.0,0.44799999999999995
20,2.5,3.0,0.38566666666666666
20,7.5,3.0,0.519
20,10.0,0.5,1.1315
20,20.0,1.0,1.9693333333333334
20,7.5,3.0,0.519
20,15.0,1.0,1.0803333333333334
20,2.5,3.0,0.38566666666666666
20,17.5,1.0,1.454
20,12.5,1.0,0.843
20,5.0,3.0,0.44799999999999995
20,17.5,0.5,2.4316666666666666
20,5.0,2.0,0.634
20,10.0,0.5,1.1315
20,5.0,1.0,0.44133333333333336
20,5.0,2.0,0.634
20,20.0,3.0,1.3630000000000002
20,10.0,1.0,0.674
20,10.0,1.5,0.634
20,15.0,1.0,1.0803333333333334
20,10.0,1.0,0.674
20,15.0,0.5,1.8010000000000002
20,12.5,1.0,0.843
20,5.0,1.5,0.5725
20,12.5,0.5,1.3373333333333335
20,5.0,3.0,0.44799999999999995
20,17.5,1.0,1.454
20,5.0,3.0,0.44799999999999995
20,15.0,1.0,1.0803333333333334
20,10.0,3.0,0.5456666666666666
20,2.5,1.0,0.7166666666666667
20,10.0,1.0,0.674
20,15.0,0.5,1.8010000000000002
20,2.5,3.0,0.38566666666666666
20,7.5,0.5,0.9526666666666667
20,17.5,1.0,1.454
20,15.0,2.0,0.9396666666666667
20,10.0,1.5,0.634
20,17.5,0.5,2.4316666666666666
20,7.5,1.0,0.5486666666666667
20,12.5,1.0,0.843
20,5.0,2.0,0.634
20,10.0,3.0,0.5456666666666666
20,12.5,0.5,1.3373333333333335
20,10.0,1.0,0.674
20,20.0,1.0,1.9693333333333334
20,7.5,1.0,0.5486666666666667
20,2.5,1.0,0.7166666666666667
20,20.0,3.0,1.3630000000000002
20,2.5,3.0,0.38566666666666666
20,15.0,1.0,1.0803333333333334
20,10.0,0.5,1.1315
20,7.5,3.0,0.519
20,15.0,0.5,1.8010000000000002
20,17.5,0.5,2.4316666666666666
20,10.0,1.0,0.674
20,7.5,3.0,0.519
20,15.0,3.0,0.8653333333333334
20,2.5,3.0,0.38566666666666666
20,15.0,1.5,0.9576666666666668
20,20.0,2.0,1.6383333333333334
20,20.0,3.0,1.3630000000000002
20,15.0,1.0,1.0803333333333334
20,5.0,1.0,0.44133333333333336
20,15.0,2.0,0.9396666666666667
20,12.5,0.5,1.3373333333333335
20,17.5,1.0,1.454
20,15.0,2.0,0.9396666666666667
20,15.0,1.0,1.0803333333333334
20,2.5,1.0,0.7166666666666667
20,7.5,0.5,0.9526666666666667
20,10.0,2.0,0.629
20,2.5,0.5,1.287
20,5.0,1.0,0.44133333333333336
20,7.5,0.5,0.9526666666666667
20,5.0,3.0,0.44799999999999995
20,17.5,1.0,1.454
20,10.0,1.0,0.674
20,5.0,1.5,0.5725
20,7.5,3.0,0.519
20,20.0,3.0,1.3630000000000002
20,5.0,0.5,0.8226666666666667
20,7.5,0.5,0.9526666666666667
20,12.5,0.5,1.3373333333333335
20,17.5,0.5,2.4316666666666666
20,12.5,0.5,1.3373333333333335
20,5.0,0.5,0.8226666666666667
20,7.5,1.0,0.5486666666666667
20,17.5,0.5,2.4316666666666666
20,10.0,3.0,0.5456666666666666
20,17.5,0.5,2.4316666666666666
20,7.5,1.0,0.5486666666666667
20,10.0,3.0,0.5456666666666666
20,10.0,1.0,0.674
20,12.5,1.0,0.843
20,17.5,1.0,1.454
20,7.5,3.0,0.519
20,20.0,3.0,1.3630000000000002
20,15.0,1.0,1.0803333333333334
20,2.5,1.0,0.7166666666666667
20,15.0,1.5,0.9576666666666668
20,20.0,1.0,1.9693333333333334
20,12.5,1.0,0.843
20,12.5,1.0,0.843
20,10.0,3.0,0.5456666666666666
20,15.0,0.5,1.8010000000000002
20,5.0,3.0,0.44799999999999995
20,10.0,0.5,1.1315
20,7.5,1.0,0.5486666666666667
20,10.0,1.0,0.674
20,20.0,1.0,1.9693333333333334
20,15.0,1.0,1.0803333333333334
20,15.0,3.0,0.8653333333333334
20,15.0,3.0,0.8653333333333334
20,10.0,2.0,0.629
20,5.0,1.5,0.5725
20,20.0,3.0,1.3630000000000002
20,20.0,1.5,1.5523333333333333
20,15.0,1.5,0.9576666666666668
20,17.5,0.5,2.4316666666666666
20,15.0,0.5,1.8010000000000002
20,15.0,3.0,0.8653333333333334
20,2.5,3.0,0.38566666666666666
20,20.0,2.0,1.6383333333333334
20,17.5,1.0,1.454
20,2.5,3.0,0.38566666666666666
20,10.0,1.5,0.634
20,10.0,3.0,0.5456666666666666
20,2.5,1.0,0.7166666666666667
20,7.5,0.5,0.9526666666666667
20,5.0,0.5,0.8226666666666667
20,15.0,1.5,0.9576666666666668
20,5.0,1.0,0.44133333333333336
20,15.0,2.0,0.9396666666666667
20,7.5,3.0,0.519
20,5.0,1.0,0.44133333333333336
20,7.5,0.5,0.9526666666666667
20,2.5,0.5,1.287
20,5.0,1.0,0.44133333333333336
20,10.0,1.0,0.674
20,7.5,1.0,0.5486666666666667
20,15.0,3.0,0.8653333333333334
20,5.0,2.0,0.634
20,10.0,3.0,0.5456666666666666
20,20.0,1.0,1.9693333333333334
20,20.0,2.0,1.6383333333333334
20,15.0,1.0,1.0803333333333334
20,20.0,1.0,1.9693333333333334
20,15.0,0.5,1.8010000000000002
20,12.5,1.0,0.843
20,15.0,1.5,0.9576666666666668
20,2.5,0.5,1.287
20,5.0,0.5,0.8226666666666667
20,5.0,3.0,0.44799999999999995
20,7.5,0.5,0.9526666666666667
20,10.0,1.0,0.674
20,10.0,0.5,1.1315
20,12.5,0.5,1.3373333333333335
20,5.0,0.5,0.8226666666666667
20,17.5,1.0,1.454
20,5.0,1.5,0.5725
20,20.0,2.0,1.6383333333333334
20,2.5,1.0,0.7166666666666667
20,15.0,0.5,1.8010000000000002
20,2.5,0.5,1.287
20,2.5,3.0,0.38566666666666666
20,5.0,3.0,0.44799999999999995
20,7.5,0.5,0.9526666666666667
20,20.0,3.0,1.3630000000000002
20,15.0,0.5,1.8010000000000002
20,20.0,3.0,1.3630000000000002
20,15.0,3.0,0.8653333333333334
20,12.5,0.5,1.3373333333333335
20,15.0,3.0,0.8653333333333334
20,12.5,0.5,1.3373333333333335
20,5.0,0.5,0.8226666666666667
20,15.0,3.0,0.8653333333333334
20,12.5,1.0,0.843
20,17.5,0.5,2.4316666666666666
20,7.5,3.0,0.519
20,15.0,2.0,0.9396666666666667
20,7.5,3.0,0.519
20,20.0,1.5,1.5523333333333333
20,17.5,1.0,1.454
20,10.0,1.0,0.674
20,10.0,1.0,0.674
20,2.5,1.0,0.7166666666666667
20,20.0,3.0,1.3630000000000002
20,2.5,1.0,0.7166666666666667
20,12.5,1.0,0.843
20,10.0,1.0,0.674
20,12.5,1.0,0.843
20,2.5,3.0,0.38566666666666666
20,20.0,2.0,1.6383333333333334
20,5.0,0.5,0.8226666666666667
20,12.5,1.0,0.843
20,15.0,3.0,0.8653333333333334
20,2.5,1.0,0.7166666666666667
20,20.0,1.0,1.9693333333333334
20,5.0,0.5,0.8226666666666667
20,2.5,0.5,1.287
20,5.0,3.0,0.44799999999999995
20,10.0,1.0,0.674
20,20.0,3.0,1.3630000000000002
20,17.5,1.0,1.454
20,5.0,1.0,0.44133333333333336
20,5.0,2.0,0.634
20,20.0,1.5,1.5523333333333333
20,10.0,2.0,0.629
20,20.0,1.0,1.9693333333333334
20,5.0,0.5,0.8226666666666667
20,5.0,1.0,0.44133333333333336
20,17.5,1.0,1.454
20,15.0,0.5,1.8010000000000002
20,5.0,3.0,0.44799999999999995
20,5.0,0.5,0.8226666666666667
20,15.0,1.0,1.0803333333333334
20,7.5,0.5,0.9526666666666667
20,7.5,0.5,0.9526666666666667
20,17.5,1.0,1.454
20,15.0,1.0,1.0803333333333334
20,15.0,1.5,0.9576666666666668
20,7.5,1.0,0.5486666666666667
20,10.0,0.5,1.1315
20,12.5,0.5,1.3373333333333335
20,17.5,0.5,2.4316666666666666
20,2.5,0.5,1.287
20,5.0,3.0,0.44799999999999995
20,7.5,1.0,0.5486666666666667
20,17.5,0.5,2.4316666666666666
20,15.0,1.5,0.9576666666666668
20,10.0,1.5,0.634
20,12.5,1.0,0.843
20,10.0,1.0,0.674
20,10.0,2.0,0.629
20,17.5,1.0,1.454
20,20.0,1.0,1.9693333333333334
20,10.0,0.5,1.1315
20,5.0,2.0,0.634
20,2.5,1.0,0.7166666666666667
20,17.5,0.5,2.4316666666666666
20,10.0,1.5,0.634
20,20.0,1.5,1.5523333333333333
20,12.5,1.0,0.843
20,5.0,2.0,0.634
20,12.5,0.5,1.3373333333333335
20,15.0,0.5,1.8010000000000002
20,7.5,3.0,0.519
20,2.5,3.0,0.38566666666666666
20,2.5,3.0,0.38566666666666666
20,17.5,1.0,1.454
